M      N     A     P     M     C
9973	 8616	 0.86	 9.89	 0.50	 663
10000	 8616	 0.86	 10.04	 0.50	 633
11987	 8616	 0.72	 4.62	 0.50	 92
12000	 8616	 0.72	 4.48	 0.50	 66
13999	 8616	 0.62	 3.10	 0.52	 35
14000	 8616	 0.62	 3.16	 0.52	 37
15991	 8616	 0.54	 2.56	 0.55	 37
16000	 8616	 0.54	 2.50	 0.55	 24
17989	 8616	 0.48	 2.14	 0.59	 23
18000	 8616	 0.48	 2.15	 0.58	 23
19997	 8616	 0.43	 1.92	 0.61	 16
20000	 8616	 0.43	 1.94	 0.60	 14
21997	 8616	 0.39	 1.78	 0.63	 18
22000	 8616	 0.39	 1.78	 0.63	 19
23993	 8616	 0.36	 1.63	 0.66	 13
24000	 8616	 0.36	 1.63	 0.66	 12
25999	 8616	 0.33	 1.56	 0.68	 13
26000	 8616	 0.33	 1.57	 0.68	 13
27997	 8616	 0.31	 1.49	 0.70	 11
28000	 8616	 0.31	 1.48	 0.71	 8
29989	 8616	 0.29	 1.43	 0.72	 10
30000	 8616	 0.29	 1.41	 0.73	 9
